State,Year,Quater,Total_Amount
bihar,2023,4,17216830064448.0
bihar,2024,1,19652841811584.0
bihar,2024,2,22642159312512.0
bihar,2024,3,21363365452224.0
bihar,2024,4,25187130416640.0
chandigarh,2018,1,7361225019.0
chandigarh,2018,2,11534678769.0
chandigarh,2018,3,16432252807.5
chandigarh,2018,4,24391099540.5
chandigarh,2019,1,28752384803.25
chandigarh,2019,2,32317393430.25
chandigarh,2019,3,39236184644.25
chandigarh,2019,4,49830167000.25
chandigarh,2020,1,61517435361.0
chandigarh,2020,2,46164188565.0
chandigarh,2020,3,61077713304.0
chandigarh,2020,4,73761157578.0
chandigarh,2021,1,91157050164.0
chandigarh,2021,2,101012087280.0
chandigarh,2021,3,141790594032.0
chandigarh,2021,4,172482999600.0
chandigarh,2022,1,182099892036.0
chandigarh,2022,2,207402002076.0
chandigarh,2022,3,246717092544.0
chandigarh,2022,4,334557053976.0
chandigarh,2023,1,153898728900.0
chandigarh,2023,2,172972904736.0
chandigarh,2023,3,185121401112.0
chandigarh,2023,4,195374678676.0
chandigarh,2024,1,190106115228.0
chandigarh,2024,2,210682847544.0
chandigarh,2024,3,231111095856.0
chandigarh,2024,4,246016631784.0
chhattisgarh,2018,1,25789866630.0
chhattisgarh,2018,2,51170044776.0
chhattisgarh,2018,3,75627686196.0
chhattisgarh,2018,4,112996952760.0
chhattisgarh,2019,1,150534681534.0
chhattisgarh,2019,2,204028272858.0
chhattisgarh,2019,3,237639104040.0
chhattisgarh,2019,4,325725454128.0
chhattisgarh,2020,1,394327179804.0
chhattisgarh,2020,2,387220587408.0
chhattisgarh,2020,3,498320950320.0
chhattisgarh,2020,4,746579679504.0
chhattisgarh,2021,1,832918124544.0
chhattisgarh,2021,2,944745263136.0
chhattisgarh,2021,3,1255273248672.0
chhattisgarh,2021,4,1636789307904.0
chhattisgarh,2022,1,1894164597120.0
chhattisgarh,2022,2,2174180164320.0
chhattisgarh,2022,3,2641938679344.0
chhattisgarh,2022,4,3030230184576.0
chhattisgarh,2023,1,3613067210688.0
chhattisgarh,2023,2,3997882047360.0
chhattisgarh,2023,3,4204556116032.0
chhattisgarh,2023,4,4847820504576.0
chhattisgarh,2024,1,5556117562560.0
chhattisgarh,2024,2,5955761303616.0
chhattisgarh,2024,3,5968321419456.0
chhattisgarh,2024,4,6921941437632.0
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,2107900551.75
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,3624849295.125
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,5371675078.875
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,7905007682.25
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,10120437601.5
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,9893294925.0
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,11537657538.75
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,14719694832.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,16113160495.5
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,15628517700.75
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,20997469272.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,32406134406.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,35587594920.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,37892023165.5
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,51671270067.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,66790070850.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,74844578556.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,83941917159.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,90247765194.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,96715688739.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,151369088964.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,165006459732.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,181152793704.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,210696715068.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,234230358756.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,243947912508.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,258775583964.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,287342660220.0
delhi,2018,1,134538046992.0
delhi,2018,2,209355601824.0
delhi,2018,3,328510163520.0
delhi,2018,4,476674299120.0
delhi,2019,1,701629583424.0
delhi,2019,2,980481787920.0
delhi,2019,3,1238361742776.0
