State,Year,Total_Amount
gujarat,2020,5987768385704.0
uttar-pradesh,2019,6051482658984.0
haryana,2020,6051555052956.0
jharkhand,2021,6665261648248.0
odisha,2020,6782390110104.0
uttarakhand,2023,7253380792896.0
jammu-&-kashmir,2024,7398216256480.0
andhra-pradesh,2019,7529079197416.0
west-bengal,2020,7738242180984.0
tamil-nadu,2020,7877951356352.0
punjab,2022,8024271979024.0
kerala,2022,8827076967072.0
delhi,2020,8860866353920.0
assam,2022,8953477030120.0
bihar,2020,9104169999708.0
uttarakhand,2024,9788987817896.0
telangana,2019,10274270930252.0
maharashtra,2019,10322579241520.0
madhya-pradesh,2020,10704905783460.0
karnataka,2019,11077671757936.0
punjab,2023,11284774239088.0
chhattisgarh,2022,11363932562920.0
kerala,2023,11854523718016.0
haryana,2021,12871086892272.0
jharkhand,2022,12988094747376.0
uttar-pradesh,2020,13401909206952.0
assam,2023,13679772508976.0
kerala,2024,14014333101664.0
gujarat,2021,14124180561792.0
punjab,2024,14181723583440.0
rajasthan,2020,14892984182160.0
odisha,2021,16076110848112.0
tamil-nadu,2021,18495214531136.0
west-bengal,2021,18858659655584.0
assam,2024,19359722284560.0
chhattisgarh,2023,19440546858432.0
delhi,2021,19899922818272.0
bihar,2021,22007836356016.0
haryana,2022,23171165415552.0
andhra-pradesh,2020,23481452002456.0
maharashtra,2020,23503442714864.0
jharkhand,2023,23893668773520.0
karnataka,2020,25245978396016.0
telangana,2020,26532620858688.0
gujarat,2022,26665826269152.0
madhya-pradesh,2021,27024687390848.0
chhattisgarh,2024,28469165343808.0
odisha,2022,30492349451760.0
uttar-pradesh,2021,30932046573120.0
tamil-nadu,2022,33746899371360.0
jharkhand,2024,34912586539152.0
delhi,2022,36250875150784.0
rajasthan,2021,37346975100064.0
west-bengal,2022,37695384066144.0
haryana,2023,37977172545312.0
gujarat,2023,38444806927520.0
delhi,2023,38933728012928.0
bihar,2022,43306645760000.0
tamil-nadu,2023,44770910550464.0
odisha,2023,47213476816800.0
andhra-pradesh,2021,51291305011072.0
haryana,2024,51343584113472.0
delhi,2024,52425738138368.0
gujarat,2024,53505345479040.0
madhya-pradesh,2022,55308375318112.0
tamil-nadu,2024,56523947187680.0
karnataka,2021,57422239903616.0
west-bengal,2023,59179986943168.0
maharashtra,2021,60474655032512.0
uttar-pradesh,2022,62277421408832.0
telangana,2021,62571108193216.0
odisha,2024,67254873592928.0
bihar,2023,67874980663840.0
rajasthan,2022,68184614698816.0
madhya-pradesh,2023,69003093364576.0
andhra-pradesh,2022,78175680932608.0
west-bengal,2024,89419582694400.0
karnataka,2022,98059226298880.0
rajasthan,2023,99679635635776.0
madhya-pradesh,2024,100372826048768.0
bihar,2024,103653079825120.0
uttar-pradesh,2023,106298469013632.0
maharashtra,2022,109840104829056.0
telangana,2022,130292837281600.0
rajasthan,2024,141580625712960.0
andhra-pradesh,2023,142954271027904.0
maharashtra,2023,151458687545088.0
telangana,2023,154802924685248.0
uttar-pradesh,2024,155586872718592.0
karnataka,2023,160651174140800.0
andhra-pradesh,2024,180226331544448.0
telangana,2024,197059509288320.0
maharashtra,2024,206981397466368.0
karnataka,2024,214610281510016.0
